Time;Mesure
s;m
0;-0.2109903
1.31;-0.2109903
1.38;-0.2109093
1.48;-0.2076412
1.55;-0.2023668
1.61;-0.1979695
1.67;-0.1926084
1.72;-0.1848996
1.76;-0.1772937
1.79;-0.169972
1.82;-0.1623159
1.85;-0.1542979
1.87;-0.1459266
1.91;-0.1334991
1.93;-0.1249084
1.95;-0.1168405
1.98;-0.110614
2;-0.1060243
2.04;-0.1018744
2.08;-0.0987888
2.11;-0.0993792
2.14;-0.1046424
2.18;-0.1144077
2.21;-0.1238088
2.25;-0.1354484
2.3;-0.1488231
2.35;-0.1580252
2.4;-0.1655015
2.45;-0.1712884
2.49;-0.1725418
2.54;-0.1715095
2.6;-0.1669502
2.65;-0.161577
2.68;-0.1567225
2.7;-0.151554
2.75;-0.1446957
2.79;-0.1355768
2.84;-0.1282835
2.88;-0.1231826
2.92;-0.119417
2.95;-0.1176383
2.99;-0.1172127
3.04;-0.1216603
3.09;-0.1287517
3.14;-0.1371742
3.18;-0.1460322
3.24;-0.1580786
3.27;-0.1624655
3.31;-0.1648212
3.35;-0.1637868
3.4;-0.1592407
3.44;-0.153739
3.48;-0.146648
3.51;-0.1398079
3.53;-0.1342869
3.56;-0.1274796
3.58;-0.1242158
3.63;-0.1225783
3.68;-0.1230634
3.73;-0.1279195
3.8;-0.1344075
3.85;-0.1383582
3.91;-0.1445652
3.96;-0.1484771
4.01;-0.1496861
4.1;-0.1478551
4.17;-0.1444385
4.23;-0.1389087
4.29;-0.1333482
4.33;-0.1298112
4.38;-0.1273327
4.43;-0.127761
4.47;-0.1326729
4.52;-0.1427342
4.59;-0.153086
4.64;-0.1598122
4.69;-0.1635021
4.74;-0.162532
4.8;-0.1552821
4.85;-0.1462983
4.88;-0.1404814
4.91;-0.1344445
4.94;-0.1306477
4.99;-0.1279337
5.03;-0.129395
5.07;-0.1345498
5.11;-0.1403416
5.15;-0.1449247
5.21;-0.1472611
5.25;-0.1466816
5.29;-0.1442603
5.35;-0.1395789
